filename,relative_path,full_path,keywords_found,keyword_count
20230731_Noyau_org1.tif,20230731_Noyau_org1.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org1.tif,Noyau,1
20230731_Noyau_org10.tif,20230731_Noyau_org10.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org10.tif,Noyau,1
20230731_Noyau_org11.tif,20230731_Noyau_org11.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org11.tif,Noyau,1
20230731_Noyau_org2.tif,20230731_Noyau_org2.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org2.tif,Noyau,1
20230731_Noyau_org3.tif,20230731_Noyau_org3.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org3.tif,Noyau,1
20230731_Noyau_org4.tif,20230731_Noyau_org4.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org4.tif,Noyau,1
20230731_Noyau_org5.tif,20230731_Noyau_org5.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org5.tif,Noyau,1
20230731_Noyau_org6.tif,20230731_Noyau_org6.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org6.tif,Noyau,1
20230731_Noyau_org7.tif,20230731_Noyau_org7.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org7.tif,Noyau,1
20230731_Noyau_org8.tif,20230731_Noyau_org8.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org8.tif,Noyau,1
20230731_Noyau_org9.tif,20230731_Noyau_org9.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230731_Noyau_org9.tif,Noyau,1
20230804_Noyau_org12.tif,20230804_Noyau_org12.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230804_Noyau_org12.tif,Noyau,1
20230804_Noyau_org13.tif,20230804_Noyau_org13.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230804_Noyau_org13.tif,Noyau,1
20230804_Noyau_org14.tif,20230804_Noyau_org14.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230804_Noyau_org14.tif,Noyau,1
20230804_Noyau_org15.tif,20230804_Noyau_org15.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20230804_Noyau_org15.tif,Noyau,1
20231004_Noyau_org1.tif,20231004_Noyau_org1.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231004_Noyau_org1.tif,Noyau,1
20231004_Noyau_org2.tif,20231004_Noyau_org2.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231004_Noyau_org2.tif,Noyau,1
20231004_Noyau_org3.tif,20231004_Noyau_org3.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231004_Noyau_org3.tif,Noyau,1
20231004_Noyau_org4.tif,20231004_Noyau_org4.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231004_Noyau_org4.tif,Noyau,1
20231004_Noyau_org5.tif,20231004_Noyau_org5.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231004_Noyau_org5.tif,Noyau,1
20231004_Noyau_org6.tif,20231004_Noyau_org6.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231004_Noyau_org6.tif,Noyau,1
20231004_Noyau_org7.tif,20231004_Noyau_org7.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231004_Noyau_org7.tif,Noyau,1
20231004_Noyau_org8.tif,20231004_Noyau_org8.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231004_Noyau_org8.tif,Noyau,1
20231005_Noyau_org10.tif,20231005_Noyau_org10.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231005_Noyau_org10.tif,Noyau,1
20231005_Noyau_org9.tif,20231005_Noyau_org9.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231005_Noyau_org9.tif,Noyau,1
20231006_Noyau_org1.tif,20231006_Noyau_org1.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231006_Noyau_org1.tif,Noyau,1
20231006_Noyau_org2.tif,20231006_Noyau_org2.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231006_Noyau_org2.tif,Noyau,1
20231006_Noyau_org3.tif,20231006_Noyau_org3.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231006_Noyau_org3.tif,Noyau,1
20231006_Noyau_org4.tif,20231006_Noyau_org4.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231006_Noyau_org4.tif,Noyau,1
20231114_Noyau_org10.tif,20231114_Noyau_org10.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231114_Noyau_org10.tif,Noyau,1
20231114_Noyau_org11.tif,20231114_Noyau_org11.tif,/Volumes/LaCie/Organoids/Noyaux/Cystiques/20231114_Noyau_org11.tif,Noyau,1
