filename,relative_path,full_path,keywords_found,keyword_count
raw_202502_Nice_orga0_0.tif,raw_202502_Nice_orga0_0.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_0.tif,Nice,1
._raw_202502_Nice_orga0_0.tif,._raw_202502_Nice_orga0_0.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/._raw_202502_Nice_orga0_0.tif,Nice,1
raw_202502_Nice_orga0_1.tif,raw_202502_Nice_orga0_1.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_1.tif,Nice,1
raw_202502_Nice_orga0_2.tif,raw_202502_Nice_orga0_2.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_2.tif,Nice,1
raw_202502_Nice_orga0_3.tif,raw_202502_Nice_orga0_3.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_3.tif,Nice,1
raw_202502_Nice_orga0_4.tif,raw_202502_Nice_orga0_4.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_4.tif,Nice,1
raw_202502_Nice_orga0_5.tif,raw_202502_Nice_orga0_5.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_5.tif,Nice,1
raw_202502_Nice_orga0_6.tif,raw_202502_Nice_orga0_6.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_6.tif,Nice,1
raw_202502_Nice_orga0_7.tif,raw_202502_Nice_orga0_7.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_7.tif,Nice,1
raw_202502_Nice_orga0_8.tif,raw_202502_Nice_orga0_8.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_8.tif,Nice,1
raw_202502_Nice_orga0_9.tif,raw_202502_Nice_orga0_9.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_9.tif,Nice,1
raw_202502_Nice_orga0_10.tif,raw_202502_Nice_orga0_10.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_10.tif,Nice,1
raw_202502_Nice_orga0_11.tif,raw_202502_Nice_orga0_11.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_11.tif,Nice,1
raw_202502_Nice_orga0_12.tif,raw_202502_Nice_orga0_12.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_12.tif,Nice,1
raw_202502_Nice_orga0_13.tif,raw_202502_Nice_orga0_13.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_13.tif,Nice,1
raw_202502_Nice_orga0_14.tif,raw_202502_Nice_orga0_14.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_14.tif,Nice,1
raw_202502_Nice_orga0_15.tif,raw_202502_Nice_orga0_15.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_15.tif,Nice,1
raw_202502_Nice_orga0_16.tif,raw_202502_Nice_orga0_16.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_16.tif,Nice,1
raw_202502_Nice_orga0_17.tif,raw_202502_Nice_orga0_17.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_17.tif,Nice,1
raw_202502_Nice_orga0_18.tif,raw_202502_Nice_orga0_18.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_18.tif,Nice,1
raw_202502_Nice_orga0_19.tif,raw_202502_Nice_orga0_19.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_19.tif,Nice,1
raw_202502_Nice_orga0_20.tif,raw_202502_Nice_orga0_20.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_20.tif,Nice,1
raw_202502_Nice_orga0_21.tif,raw_202502_Nice_orga0_21.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_21.tif,Nice,1
raw_202502_Nice_orga0_22.tif,raw_202502_Nice_orga0_22.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_22.tif,Nice,1
raw_202502_Nice_orga0_23.tif,raw_202502_Nice_orga0_23.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_23.tif,Nice,1
raw_202502_Nice_orga0_24.tif,raw_202502_Nice_orga0_24.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_24.tif,Nice,1
raw_202502_Nice_orga0_25.tif,raw_202502_Nice_orga0_25.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_25.tif,Nice,1
raw_202502_Nice_orga0_26.tif,raw_202502_Nice_orga0_26.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_26.tif,Nice,1
raw_202502_Nice_orga0_27.tif,raw_202502_Nice_orga0_27.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_27.tif,Nice,1
raw_202502_Nice_orga0_28.tif,raw_202502_Nice_orga0_28.tif,/Volumes/LaCie/Organoids/Chouxfleurs_raw/raw_202502_Nice_orga0_28.tif,Nice,1
